Open,Close,High,Low,Volume,Date
73.14,72.99,73.52,72.62,,08/31/21
71.53,72.7,72.76,71.17,,08/27/21
71.94,71.07,72.13,70.66,,08/26/21
71,72.25,72.42,70.5,,08/25/21
68.66,71.05,71.27,68.53,,08/24/21
64.97,68.75,68.9,64.6,,08/23/21
66.54,65.18,66.93,64.94,,08/20/21
67.57,66.45,67.64,65.57,,08/19/21
68.96,68.23,70.04,67.23,,08/18/21
69.77,69.03,70,68.82,,08/17/21
70.05,69.51,70.45,68.14,,08/16/21
71.12,70.59,71.38,70,,08/13/21
71.57,71.31,71.9,70.67,,08/12/21
70.83,71.44,71.72,69.07,,08/11/21
69.35,70.63,71.24,68.94,,08/10/21
70.26,69.04,70.26,67.6,,08/09/21
71.2,70.7,72.43,70.28,,08/06/21
70.27,71.29,71.5,69.75,,08/05/21
72.33,70.38,72.83,70.11,,08/04/21
73.08,72.41,73.55,71.05,,08/03/21
75.39,72.89,75.39,72.31,,08/02/21
75.81,75.41,76.38,75.38,,07/30/21
74.76,76.05,76.15,74.63,,07/29/21
74.77,74.74,75.32,74.42,,07/28/21
74.67,74.48,75.05,74.02,,07/27/21
74.12,74.5,74.84,72.75,,07/26/21
73.56,74.1,74.22,73.32,,07/23/21
72.24,73.79,73.9,71.74,,07/22/21
68.92,72.23,72.38,68.63,,07/21/21
68.99,69.35,69.73,67.44,,07/20/21
72.86,68.62,73.34,67.75,,07/19/21
73.18,73.59,74.09,72.34,,07/16/21
74.5,73.47,74.59,73.19,,07/15/21
76.28,74.76,76.72,73.79,,07/14/21
75.25,76.49,76.6,74.93,,07/13/21
75.79,75.16,75.84,74.23,,07/12/21
74.39,75.55,75.8,73.8,,07/09/21
73.35,74.12,74.4,72.11,,07/08/21
74.69,73.43,75.99,72.6,,07/07/21
77.06,74.53,77.84,74.13,,07/06/21
76.23,77.16,77.26,75.7,,07/05/21
75.64,76.17,76.43,75.21,,07/02/21
74.69,75.84,76.74,74.55,,07/01/21
75.18,75.13,75.6,74.39,,06/30/21
74.67,74.76,75.51,73.9,,06/29/21
75.99,74.68,76.6,74.51,,06/28/21
75.54,76.18,76.21,74.95,,06/25/21
75.3,75.56,75.78,74.51,,06/24/21
74.75,75.19,76.02,74.7,,06/23/21
74.88,74.81,75.3,74.32,,06/22/21
73.33,74.9,74.95,72.98,,06/21/21
73,73.51,73.76,72.18,,06/18/21
73.8,73.08,74.5,72.01,,06/17/21
74.26,74.39,74.96,73.86,,06/16/21
73.03,73.99,74.33,72.79,,06/15/21
72.7,72.86,73.64,72.59,,06/14/21
72.41,72.69,73.09,71.88,,06/11/21
72.03,72.52,72.93,70.95,,06/10/21
72.17,72.22,72.87,71.82,,06/09/21
71.42,72.22,72.42,70.71,,06/08/21
71.82,71.49,72.27,71.1,,06/07/21
71.25,71.89,72.17,70.73,,06/04/21
71.27,71.31,71.99,70.66,,06/03/21
70.55,71.35,71.48,70.35,,06/02/21
69.39,70.25,71.34,69.29,,06/01/21
68.98,69.46,69.82,68.75,,05/31/21
69.69,69.63,69.92,69.26,,05/28/21
68.78,69.46,69.51,68.11,,05/27/21
68.55,68.87,69.17,68.02,,05/26/21
68.47,68.65,68.9,67.83,,05/25/21
66.72,68.46,68.64,66.46,,05/24/21
65.22,66.44,66.94,64.57,,05/21/21
66.63,65.11,67.17,64.8,,05/20/21
68.41,66.66,68.46,65.3,,05/19/21
69.61,68.71,70.24,67.28,,05/18/21
68.92,69.46,69.62,68.18,,05/17/21
67,68.71,68.89,66.5,,05/14/21
68.88,67.05,69.04,66.48,,05/13/21
68.78,69.32,69.9,68.18,,05/12/21
68.29,68.55,68.75,67.13,,05/11/21
68.74,68.32,69.2,67.41,,05/10/21
68.26,68.28,68.65,67.39,,05/07/21
68.47,68.09,69.37,67.93,,05/06/21
69.35,68.96,69.95,68.35,,05/05/21
67.75,68.88,69.5,67.37,,05/04/21
66.7,67.56,67.82,66.1,,05/03/21
68.33,66.76,68.4,67.06,,04/30/21
67.18,68.56,68.95,67.13,,04/29/21
66.58,67.27,67.85,66.13,,04/28/21
65.76,66.42,66.8,65.66,,04/27/21
66.1,65.65,66.26,64.57,,04/26/21
65.8,66.11,66.3,65.16,,04/23/21
65.13,65.4,65.83,64.58,,04/22/21
66.22,65.32,66.52,64.96,,04/21/21
67.2,66.57,68.08,65.51,,04/20/21
66.7,67.05,67.23,66.17,,04/19/21
66.86,66.77,67.38,66.44,,04/16/21
66.38,66.94,67.03,65.95,,04/15/21
64.01,66.58,66.9,63.88,,04/14/21
63.24,63.67,64.19,63.18,,04/13/21
63.03,63.28,64.31,62.41,,04/12/21
63.28,62.95,63.49,62.57,,04/09/21
63.02,63.2,63.43,62.38,,04/08/21
62.6,63.16,63.55,61.6,,04/07/21
62.32,62.74,64.28,62.08,,04/06/21
64.57,62.15,64.81,61.25,,04/05/21
63.12,64.86,65.17,62.38,,04/01/21
64.13,63.54,64.79,63.53,,03/31/21
65.2,64.14,65.41,63.52,,03/30/21
64.58,64.98,65.46,63.13,,03/29/21
62.01,64.57,64.89,61.85,,03/26/21
63.99,61.95,64.19,60.98,,03/25/21
60.5,64.41,64.57,60.47,,03/24/21
64.3,60.79,64.3,60.27,,03/23/21
64.53,64.62,65.12,63.45,,03/22/21
62.99,64.53,64.95,62.07,,03/19/21
67.77,63.28,68.15,61.45,,03/18/21
68.39,68,68.89,66.96,,03/17/21
68.81,68.39,68.94,67.36,,03/16/21
69.08,68.88,70.03,67.82,,03/15/21
69.59,69.22,69.9,69.03,,03/12/21
68.45,69.63,69.84,67.99,,03/11/21
67.46,67.9,68.42,66.5,,03/10/21
68.13,67.52,69.33,67.12,,03/09/21
69.97,68.24,71.38,67.8,,03/08/21
67.16,69.36,69.69,66.67,,03/05/21
64.1,66.74,67.75,63.33,,03/04/21
62.38,64.07,64.7,62.38,,03/03/21
63.12,62.7,64.13,62.38,,03/02/21
64.85,63.69,65.93,63.17,,03/01/21
66.89,64.42,66.9,65.72,,02/26/21
67.2,66.88,67.7,66.48,,02/25/21
65.06,67.04,67.31,64.8,,02/24/21
65.51,65.37,66.79,64.47,,02/23/21
62.68,65.24,65.85,62.55,,02/22/21
63.3,62.91,63.94,62.09,,02/19/21
65.02,63.93,65.52,63.22,,02/18/21
63.15,64.34,64.96,62.73,,02/17/21
63.47,63.35,63.7,62.69,,02/16/21
62.83,63.3,63.76,62.82,,02/15/21
60.82,62.43,62.83,60.35,,02/12/21
61.01,61.14,61.5,60.72,,02/11/21
61.21,61.47,61.69,60.87,,02/10/21
60.8,61.09,61.34,60.05,,02/09/21
59.43,60.56,60.72,59.43,,02/08/21
59.17,59.34,59.79,59.08,,02/05/21
58.59,58.84,59.12,58.04,,02/04/21
57.85,58.46,58.94,57.5,,02/03/21
56.35,57.46,58.05,56.33,,02/02/21
54.91,56.35,56.53,54.6,,02/01/21
55.52,55.04,56.37,55.31,,01/29/21
55.41,55.53,56.59,55.31,,01/28/21
56.05,55.81,56.49,55.2,,01/27/21
55.93,55.91,56.34,55.39,,01/26/21
55.26,55.88,56.02,55.07,,01/25/21
56,55.41,56.03,54.48,,01/22/21
55.82,56.1,56.24,55.49,,01/21/21
56.07,56.08,56.64,55.66,,01/20/21
55.01,55.9,56.08,54.89,,01/19/21
54.75,54.75,55.21,54.49,,01/18/21
56.41,55.1,56.5,54.64,,01/15/21
55.93,56.42,56.57,55.24,,01/14/21
56.83,56.06,57.42,55.77,,01/13/21
55.66,56.58,56.79,55.51,,01/12/21
56.24,55.66,56.39,54.99,,01/11/21
54.56,55.99,56.36,54.34,,01/08/21
54.13,54.38,54.9,53.94,,01/07/21
53.52,54.3,54.73,53.02,,01/06/21
50.95,53.6,53.9,50.7,,01/05/21
51.5,51.09,53.33,50.56,,01/04/21
51.49,51.8,51.84,50.9,,12/31/20
51.32,51.34,51.56,51.04,,12/30/20
51.02,51.09,51.63,50.86,,12/29/20
51.25,50.86,52.02,50.53,,12/28/20
51.11,51.29,51.77,50.62,,12/24/20
49.7,51.2,51.59,49.2,,12/23/20
50.65,50.08,50.86,49.56,,12/22/20
52.22,50.91,52.32,49.2,,12/21/20
51.43,52.26,52.48,51.13,,12/18/20
51.12,51.5,51.9,51.08,,12/17/20
50.64,51.08,51.2,50.34,,12/16/20
50.3,50.76,50.89,49.78,,12/15/20
50.05,50.29,50.8,49.13,,12/14/20
50.45,49.97,50.74,49.74,,12/11/20
49,50.25,51.06,48.86,,12/10/20
48.84,48.86,49.55,48.4,,12/09/20
48.58,48.84,49,48.09,,12/08/20
49.23,48.79,49.43,48.4,,12/07/20
48.96,49.25,49.92,48.84,,12/04/20
48,48.71,48.94,47.67,,12/03/20
47.05,48.25,48.76,46.82,,12/02/20
47.79,47.42,48.3,46.88,,12/01/20
47.91,47.59,47.99,46.85,,11/30/20
47.81,48.18,48.44,47.34,,11/27/20
48.76,47.8,49.09,47.53,,11/26/20
47.8,48.61,49.06,47.72,,11/25/20
45.9,47.86,48.03,45.89,,11/24/20
45.08,46.06,46.12,44.89,,11/23/20
44.15,44.96,45.24,44.05,,11/20/20
43.96,44.2,44.57,43.79,,11/19/20
43.75,44.34,44.89,43.48,,11/18/20
43.89,43.75,44.25,43.08,,11/17/20
42.71,43.82,44.67,42.71,,11/16/20
43.2,42.78,43.34,42.63,,11/13/20
43.73,43.53,44.5,43.26,,11/12/20
43.77,43.8,45.3,43.6,,11/11/20
41.75,43.61,44.11,41.71,,11/10/20
39.65,42.4,43.48,39.46,,11/09/20
40.63,39.45,40.69,39.34,,11/06/20
40.96,40.93,41.53,40.33,,11/05/20
40.13,41.23,41.33,39.42,,11/04/20
39.26,39.71,40.45,38.65,,11/03/20
37.37,38.97,39.36,35.74,,11/02/20
37.5,37.94,38.1,36.8,,10/30/20
39.16,37.65,39.45,36.64,,10/29/20
40.61,39.12,40.7,38.75,,10/28/20
40.5,41.2,41.47,40.4,,10/27/20
41.53,40.46,41.63,40.22,,10/26/20
42.4,41.77,42.8,41.5,,10/23/20
41.59,42.46,42.79,41.46,,10/22/20
42.91,41.73,43.04,41.45,,10/21/20
42.45,43.16,43.3,42.19,,10/20/20
42.69,42.62,43.23,42.36,,10/19/20
43.1,42.93,43.21,42.27,,10/16/20
43.45,43.16,43.48,41.56,,10/15/20
42.43,43.32,43.45,42.13,,10/14/20
41.81,42.45,42.68,41.66,,10/13/20
42.6,41.72,42.71,41.36,,10/12/20
43.36,42.85,43.57,42.61,,10/09/20
42.15,43.34,43.47,41.86,,10/08/20
41.85,41.99,42.42,41.36,,10/07/20
41.41,42.65,42.84,41.22,,10/06/20
39.19,41.29,41.78,39.14,,10/05/20
40.65,39.27,40.77,38.79,,10/02/20
42.17,40.93,42.56,39.92,,10/01/20
40.66,40.95,40.98,40.3,,09/30/20
42.47,41.03,42.52,40.43,,09/29/20
41.87,42.43,42.62,41.48,,09/28/20
41.85,41.92,42.33,41.52,,09/25/20
41.36,41.94,42.02,41.27,,09/24/20
41.67,41.77,42.62,41.21,,09/23/20
41.79,41.72,42.2,41.21,,09/22/20
43.01,41.44,43.3,40.96,,09/21/20
43.22,43.15,43.8,42.53,,09/18/20
42.32,43.3,43.5,41.5,,09/17/20
40.72,42.22,42.44,40.59,,09/16/20
39.7,40.53,40.82,39.39,,09/15/20
39.78,39.61,40.09,39.3,,09/14/20
39.96,39.83,40.34,39.38,,09/11/20
40.58,40.06,40.96,39.71,,09/10/20
39.65,40.79,41.2,39.37,,09/09/20
42.08,39.78,42.23,39.31,,09/08/20
42.2,42.01,42.43,41.51,,09/07/20
43.76,42.66,44.54,42.3,,09/04/20
44.65,44.07,44.65,43.15,,09/03/20
45.83,44.43,46.05,44.2,,09/02/20
45.6,45.58,46.22,45.47,,09/01/20
45.8,45.28,46.53,45.21,,08/31/20
45.1,45.81,45.3,44.8,,08/28/20
45.7,45.09,45.87,44.56,,08/27/20
45.97,45.64,46.1,45.54,,08/26/20
45.12,45.86,46.07,45.08,,08/25/20
44.5,45.13,45.18,44.29,,08/24/20
45.03,44.35,45.08,43.59,,08/21/20
45.14,44.9,45.18,44.02,,08/20/20
45.17,45.37,45.48,44.81,,08/19/20
45.27,45.46,45.55,44.76,,08/18/20
44.86,45.37,45.41,44.53,,08/17/20
45.29,44.8,45.29,44.47,,08/14/20
45.32,44.96,45.58,44.82,,08/13/20
44.62,45.43,45.63,44.49,,08/12/20
45.05,44.5,45.79,44.39,,08/11/20
44.66,44.99,45.26,44.37,,08/10/20
45.15,44.4,45.3,44.27,,08/07/20
45.32,45.09,45.71,44.85,,08/06/20
44.28,45.17,46.23,44.24,,08/05/20
43.84,44.43,44.82,43.24,,08/04/20
43.53,44.15,44.46,42.89,,08/03/20
43.29,43.52,43.44,43.05,,07/31/20
43.73,42.94,43.8,41.38,,07/30/20
43.31,43.75,43.95,43.2,,07/29/20
